n,f=0.1,f=0.1_ES,f=0.25,f=0.25_ES,f=0.5,f=0.5_ES,f=0.75,f=0.75_ES,f=1.0,f=1.0_ES
200,63.5,62.0,63.5,62.5,60.5,61.0,55.0,55.0,52.5,52.5
400,60.0,63.5,60.0,63.0,67.0,65.0,67.0,65.0,67.0,65.0
600,59.5,61.5,59.5,57.0,59.5,57.0,62.0,57.0,62.0,57.0
800,56.0,75.5,56.0,57.5,61.0,72.5,61.0,70.5,61.0,67.0
1000,60.0,73.0,60.0,66.5,67.5,69.5,61.5,61.5,61.5,61.5
1200,68.5,40.5,68.5,60.5,73.5,76.5,72.5,79.5,73.5,79.5
1400,77.5,69.0,77.5,79.0,77.0,78.0,70.0,71.0,67.5,68.5
1600,78.0,74.5,78.0,74.5,77.5,76.0,77.5,77.5,77.5,77.5
1800,77.0,81.0,77.0,76.5,77.5,76.0,77.5,82.0,75.5,77.0
2000,74.0,66.5,74.0,83.5,82.5,81.5,80.0,81.0,79.0,79.0
2200,73.5,72.5,77.5,74.5,77.0,77.0,77.0,77.0,77.0,77.0
2400,66.5,57.5,72.5,46.5,46.0,49.0,47.5,46.0,45.0,39.5
2600,71.0,74.0,70.5,71.5,75.0,74.5,74.5,75.0,70.0,73.0
2800,67.5,71.0,66.0,73.0,62.5,67.0,62.5,65.5,62.0,65.0
3000,69.0,68.0,68.0,71.0,86.5,83.0,86.5,76.5,92.5,76.0
3200,83.0,75.5,75.0,77.5,79.5,80.5,79.5,80.5,79.5,82.5
3400,72.5,63.5,70.5,65.5,69.0,63.5,69.5,63.0,61.0,62.0
3600,84.0,80.5,86.0,88.5,87.0,86.0,87.0,86.0,93.5,82.0
3800,68.0,71.0,75.5,77.5,80.5,75.0,80.5,78.5,80.5,80.5
4000,69.5,60.5,74.0,60.5,59.0,60.5,59.0,60.5,57.5,60.5
4200,66.0,67.0,64.0,68.0,68.5,68.5,68.5,68.5,68.5,68.5
4400,65.5,70.5,56.5,68.5,69.5,70.5,70.5,70.5,70.5,70.5
4600,70.5,64.5,67.0,62.0,62.5,61.5,62.5,61.5,64.5,61.5
4800,74.0,75.0,69.5,72.5,69.0,70.0,69.0,70.0,69.0,70.0
5000,68.0,69.5,71.0,71.5,74.5,73.0,74.5,73.0,74.5,72.0
5200,71.5,69.5,75.5,79.5,83.5,83.5,83.5,83.5,83.5,83.5
5400,56.5,59.5,55.0,65.0,58.0,60.5,57.0,60.5,55.5,60.5
5600,70.0,69.5,70.5,73.0,73.5,73.5,73.5,73.5,71.0,73.5
5800,82.0,81.0,81.5,83.5,83.0,85.0,85.0,85.0,77.5,78.5
6000,68.5,66.5,66.0,69.0,63.0,63.5,63.5,63.5,63.5,63.5
6200,52.5,51.5,45.5,43.0,44.5,49.5,44.5,46.0,44.5,44.5
6400,76.0,71.5,71.0,72.0,68.5,73.0,63.0,73.0,62.5,66.0
6600,69.5,67.5,72.5,70.5,72.5,72.5,72.5,72.5,72.5,72.5
6800,75.0,70.5,72.0,73.0,79.0,68.0,66.0,68.0,64.5,69.0
7000,63.5,60.5,62.5,59.5,59.5,59.0,59.0,59.0,58.5,59.0
7200,63.0,58.5,52.0,53.0,51.5,53.0,54.5,53.0,55.0,55.5
7400,61.5,55.0,61.0,53.0,62.5,46.5,58.0,46.5,50.5,51.0
7600,64.0,64.5,58.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0
7800,68.0,65.0,70.5,58.0,60.5,54.0,60.0,54.0,55.0,55.0
8000,69.5,67.5,66.0,59.5,59.0,59.0,59.0,59.0,58.5,59.0
8200,72.0,68.5,72.0,71.0,73.0,73.0,73.0,73.0,73.0,73.0
8400,77.0,73.5,73.5,64.5,63.0,63.0,63.0,63.0,63.0,63.0
8600,80.0,79.0,75.0,75.5,76.5,76.5,76.5,76.5,76.5,76.5
8800,76.0,68.5,80.0,63.0,64.5,64.5,64.5,64.5,64.5,64.5
9000,65.0,65.5,70.5,60.5,62.5,62.5,62.5,62.5,62.5,62.5
9200,57.0,58.5,61.5,60.5,52.5,53.5,52.5,53.5,52.5,52.5
9400,72.5,78.0,74.5,84.0,88.5,88.5,90.5,88.5,88.5,88.5
9600,68.0,67.5,73.0,57.5,57.0,57.0,57.0,57.0,57.0,57.0
9800,71.0,72.5,75.0,81.5,81.5,82.0,82.0,82.0,82.0,81.5
10000,75.0,66.0,61.5,53.0,49.0,49.0,48.5,49.0,48.5,49.0
10200,80.0,81.0,77.0,84.5,85.5,82.0,83.0,82.0,85.0,85.5
10400,81.0,78.0,80.0,82.0,78.5,78.5,78.5,78.5,78.5,78.5
10600,76.0,80.5,77.0,81.5,82.0,83.0,82.0,83.0,82.0,82.0
10800,75.5,77.5,82.5,83.0,85.0,83.5,85.0,83.5,85.0,85.0
11000,72.5,73.5,66.0,73.5,66.5,66.5,66.5,66.5,66.5,66.5
11200,67.0,63.0,57.0,64.5,52.5,55.5,52.5,55.5,52.5,52.5
11400,65.0,69.5,70.5,66.5,65.5,65.5,68.5,65.5,65.5,65.5
11600,56.0,56.5,58.5,51.5,54.5,54.0,54.5,54.0,54.5,54.5
11800,82.5,83.5,70.5,76.5,71.5,74.5,68.0,74.5,71.5,71.5
12000,74.0,74.0,77.5,62.0,60.5,60.5,60.5,60.5,60.5,60.5
12200,65.5,60.0,64.0,58.5,60.0,61.5,58.5,61.5,60.0,60.0
12400,56.5,59.5,54.5,68.5,67.5,68.5,68.5,68.5,68.5,68.5
12600,72.5,75.0,75.5,70.5,85.0,83.5,85.0,83.5,85.0,85.0
12800,72.5,69.0,76.5,60.0,63.5,58.0,65.0,58.0,64.5,63.5
13000,69.0,62.0,66.0,52.0,45.0,45.0,45.0,45.0,45.0,45.0
13200,74.5,66.5,72.5,60.5,60.0,59.0,64.5,59.0,64.5,60.0
13400,81.5,74.5,74.5,67.0,59.5,59.5,60.0,59.5,60.0,59.5
13600,78.5,80.5,67.0,59.0,56.5,61.5,56.5,61.5,56.5,56.5
