n,f=0.1,f=0.1_ES,f=0.25,f=0.25_ES,f=0.5,f=0.5_ES,f=0.75,f=0.75_ES,f=1.0,f=1.0_ES
200,2,3,2,3,2,2,2,2,2,2
400,3,4,3,3,2,2,2,2,2,2
600,3,6,3,3,2,2,2,2,2,2
800,3,6,3,3,2,4,2,4,2,4
1000,6,7,6,7,7,8,5,7,4,6
1200,11,8,11,12,9,9,8,7,7,6
1400,11,10,11,14,9,9,9,8,8,7
1600,11,13,11,14,9,11,9,9,8,7
1800,11,14,11,15,9,12,9,10,8,7
2000,14,14,14,15,11,12,10,10,8,7
2200,18,15,14,15,11,12,10,10,8,7
2400,18,21,15,17,11,14,11,11,9,8
2600,19,24,17,19,11,14,11,11,9,9
2800,20,26,18,21,11,14,11,11,9,9
3000,21,29,18,22,11,14,11,11,9,9
3200,21,32,18,23,11,14,11,12,9,9
3400,23,34,18,24,11,14,11,12,9,9
3600,23,34,18,24,11,14,11,12,9,10
3800,24,35,18,24,11,14,11,12,9,10
4000,25,37,20,25,11,14,11,12,9,10
4200,27,39,20,25,11,14,11,12,9,10
4400,30,40,20,25,12,14,11,12,9,10
4600,31,40,21,25,12,14,11,12,9,10
4800,32,42,22,26,12,14,11,12,9,10
5000,33,42,23,28,12,14,11,12,9,10
5200,33,45,23,28,12,14,11,12,9,10
5400,34,46,25,29,13,14,11,12,9,10
5600,34,46,26,29,13,14,11,12,9,10
5800,34,46,27,29,13,14,11,12,9,10
6000,34,49,28,29,13,14,11,12,9,10
6200,37,51,28,30,13,14,11,12,9,10
6400,40,54,28,31,13,14,11,12,9,10
6600,42,54,28,31,13,14,11,12,9,10
6800,42,56,29,31,13,15,11,12,9,10
7000,43,59,30,33,13,15,11,12,9,10
7200,44,62,32,36,13,15,11,12,9,10
7400,45,66,33,36,13,15,12,13,9,10
7600,48,73,34,37,13,15,12,13,9,10
7800,50,76,34,38,13,15,12,13,10,11
8000,51,76,35,38,13,15,12,13,10,11
8200,52,79,35,39,13,15,12,13,10,11
8400,52,81,36,42,13,15,12,13,10,11
8600,52,83,37,43,13,15,12,13,10,11
8800,52,84,39,43,13,15,12,13,10,11
9000,52,87,40,43,13,15,12,13,10,11
9200,56,89,40,44,13,15,12,13,10,11
9400,59,90,40,45,13,15,13,13,10,11
9600,61,90,42,45,13,15,13,13,10,11
9800,61,93,42,45,13,15,13,13,11,11
10000,66,95,44,48,13,15,13,13,11,11
10200,66,96,44,48,13,15,13,13,11,11
10400,66,99,46,48,13,15,13,13,11,11
10600,68,100,48,49,13,15,13,13,11,11
10800,68,102,49,50,13,15,13,13,11,11
11000,69,102,49,51,13,15,13,13,11,11
11200,71,102,51,53,13,15,13,13,11,11
11400,74,102,52,54,13,15,14,13,11,11
11600,76,105,52,55,13,15,14,13,11,11
11800,77,106,55,57,13,15,14,13,11,11
12000,78,110,57,57,13,15,14,13,11,11
12200,78,111,57,57,14,16,14,13,11,11
12400,81,112,57,61,14,16,14,13,11,11
12600,82,113,57,61,14,16,14,13,11,11
12800,83,117,57,61,14,16,14,13,12,11
13000,84,117,57,64,14,16,14,13,12,11
13200,85,118,57,67,14,16,14,13,12,11
13400,85,119,57,67,14,16,14,13,12,11
13600,85,119,58,68,14,16,14,13,12,11
13800,86,120,58,68,14,17,14,13,12,11
14000,88,120,60,68,14,17,14,13,12,11
14200,89,120,60,71,14,17,14,13,12,11
14400,91,126,62,72,14,19,14,13,12,11
14600,93,127,62,72,14,19,14,13,12,11
14800,96,128,63,72,14,21,14,13,12,11
15000,98,133,66,73,14,21,14,13,12,11
15200,98,134,69,73,14,21,14,13,12,11
15400,99,134,70,73,14,21,14,13,12,11
15600,99,135,71,75,14,21,14,13,12,11
15800,100,135,71,75,14,21,14,13,12,11
16000,101,135,73,76,14,21,14,13,12,11
16200,103,138,74,77,14,21,14,13,12,11
16400,103,139,75,78,14,21,14,13,12,11
16600,106,142,75,79,14,21,14,13,12,11
16800,110,143,76,80,14,21,14,13,12,11
17000,112,143,77,80,14,22,14,13,12,11
17200,112,144,77,83,14,23,14,13,12,11
17400,113,144,78,84,14,23,14,13,12,11
17600,115,145,79,84,15,23,14,13,12,11
17800,116,148,80,85,16,23,14,13,12,11
18000,118,153,81,89,16,24,14,13,12,11
18200,119,154,83,90,16,24,14,13,12,11
18400,120,160,85,92,16,24,14,13,12,11
18600,122,163,86,94,16,24,15,14,12,11
18800,123,165,86,94,16,24,15,14,12,11
19000,123,167,87,95,16,24,15,14,12,11
19200,124,168,89,96,17,24,15,15,12,11
19400,124,168,89,96,17,24,15,15,12,11
19600,124,171,89,97,17,24,15,15,12,11
19800,125,173,90,98,17,24,15,15,12,11
20000,128,173,91,98,17,24,15,15,12,11
20200,128,175,91,100,17,24,16,15,12,11
20400,129,176,92,101,17,25,16,15,12,11
20600,129,177,93,103,17,27,16,15,12,11
20800,131,178,93,106,18,27,16,15,12,11
21000,132,179,93,107,18,28,16,15,12,11
21200,132,180,93,109,19,28,16,15,12,12
21400,134,185,96,111,19,28,16,15,12,12
21600,136,189,96,112,19,28,16,15,12,12
21800,140,191,96,115,20,28,16,15,12,12
22000,143,195,99,115,20,28,16,15,12,12
22200,144,196,100,117,20,29,16,15,12,12
22400,145,196,101,118,20,29,16,15,12,12
22600,145,197,102,118,22,29,16,15,12,12
22800,145,199,102,118,22,29,16,15,12,12
23000,146,200,103,118,23,30,16,15,12,12
23200,149,205,104,119,23,30,16,15,12,12
23400,149,206,104,119,23,30,16,15,12,12
23600,152,208,104,119,23,32,17,15,12,12
23800,154,210,104,120,23,32,17,15,12,12
24000,156,212,104,122,23,32,17,15,12,12
24200,159,215,105,125,24,33,17,15,12,12
24400,159,216,106,125,25,33,17,15,12,12
24600,159,218,108,127,27,33,17,15,12,12
24800,160,222,108,128,27,33,17,15,12,12
25000,160,226,108,130,27,33,17,15,12,12
25200,161,227,108,132,27,33,17,15,12,12
25400,162,228,108,133,27,33,17,15,12,12
25600,166,232,109,135,28,33,17,15,12,12
25800,170,234,109,136,28,33,17,15,12,12
26000,171,236,111,139,28,33,17,15,12,12
26200,172,238,112,139,28,33,17,15,12,12
26400,172,242,113,140,29,33,18,15,12,12
