n,f=0.1,f=0.1_ES,f=0.25,f=0.25_ES,f=0.5,f=0.5_ES,f=0.75,f=0.75_ES,f=1.0,f=1.0_ES
200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9400,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
