n,f=0.1,f=0.1_ES,f=0.25,f=0.25_ES,f=0.5,f=0.5_ES,f=0.75,f=0.75_ES,f=1.0,f=1.0_ES
200,1,1,1,1,1,1,1,1,1,1
400,1,1,1,1,1,1,1,1,1,1
600,1,1,1,1,1,1,1,1,1,1
800,1,1,1,1,1,1,1,1,1,1
1000,1,1,1,1,1,1,1,1,1,1
1200,1,1,1,1,1,1,1,1,1,1
1400,1,1,1,1,1,1,1,1,1,1
1600,1,1,1,1,1,1,1,1,1,1
1800,1,1,1,1,1,1,1,1,1,1
2000,1,1,1,1,1,1,1,1,1,1
2200,1,1,1,1,1,1,1,1,1,1
2400,1,1,1,1,1,1,1,1,1,1
2600,1,1,1,1,1,1,1,1,1,1
2800,1,1,1,1,1,1,1,1,1,1
3000,1,1,1,1,1,1,1,1,1,1
3200,1,1,1,1,1,1,1,1,1,1
3400,1,1,1,1,1,1,1,1,1,1
3600,1,1,1,1,1,1,1,1,1,1
3800,1,1,1,1,1,1,1,1,1,1
4000,1,1,1,1,1,1,1,1,1,1
4200,1,1,1,1,1,1,1,1,1,1
4400,1,1,1,1,1,1,1,1,1,1
4600,1,1,1,1,1,1,1,1,1,1
4800,1,1,1,1,1,1,1,1,1,1
5000,1,1,1,1,1,1,1,1,1,1
5200,1,1,1,1,1,1,1,1,1,1
5400,1,1,1,1,1,1,1,1,1,1
5600,1,1,1,1,1,1,1,1,1,1
5800,1,1,1,1,1,1,1,1,1,1
6000,1,1,1,1,1,1,1,1,1,1
6200,1,1,1,1,1,1,1,1,1,1
6400,1,1,1,1,1,1,1,1,1,1
6600,1,1,1,1,1,1,1,1,1,1
6800,1,1,1,1,1,1,1,1,1,1
7000,1,1,1,1,1,1,1,1,1,1
7200,1,1,1,1,1,1,1,1,1,1
7400,1,1,1,1,1,1,1,1,1,1
7600,1,1,1,1,1,1,1,1,1,1
7800,1,1,1,1,1,1,1,1,1,1
8000,1,1,1,1,1,1,1,1,1,1
8200,1,1,1,1,1,1,1,1,1,1
8400,1,1,1,1,1,1,1,1,1,1
8600,1,1,1,1,1,1,1,1,1,1
8800,1,1,1,1,1,1,1,1,1,1
9000,1,1,1,1,1,1,1,1,1,1
9200,1,1,1,1,1,1,1,1,1,1
9400,1,1,1,1,1,1,1,1,1,1
9600,1,1,1,1,1,1,1,1,1,1
9800,1,1,1,1,1,1,1,1,1,1
10000,1,1,1,1,1,1,1,1,1,1
