,OnlineBagging,OzaBoost,EFDT
200,100.0,55.50000000000001,64.0
400,100.0,100.0,100.0
600,100.0,100.0,100.0
800,100.0,100.0,100.0
1000,100.0,100.0,100.0
1200,100.0,100.0,100.0
1400,100.0,100.0,100.0
1600,100.0,100.0,100.0
1800,100.0,100.0,100.0
2000,100.0,100.0,100.0
2200,100.0,100.0,100.0
2400,100.0,100.0,100.0
2600,100.0,100.0,100.0
2800,100.0,100.0,100.0
3000,100.0,100.0,100.0
3200,100.0,100.0,100.0
3400,100.0,100.0,100.0
3600,100.0,100.0,100.0
3800,100.0,100.0,100.0
4000,100.0,100.0,100.0
4200,100.0,100.0,100.0
4400,100.0,100.0,100.0
4600,100.0,100.0,100.0
4800,100.0,100.0,100.0
5000,100.0,100.0,100.0
5200,100.0,100.0,100.0
5400,100.0,100.0,100.0
5600,100.0,100.0,100.0
5800,100.0,100.0,100.0
6000,100.0,100.0,100.0
6200,100.0,100.0,100.0
6400,100.0,100.0,100.0
6600,100.0,100.0,100.0
6800,100.0,100.0,100.0
7000,100.0,100.0,100.0
7200,100.0,100.0,100.0
7400,100.0,100.0,100.0
7600,100.0,100.0,100.0
7800,100.0,100.0,100.0
8000,100.0,100.0,100.0
8200,100.0,100.0,100.0
8400,100.0,100.0,100.0
8600,100.0,100.0,100.0
8800,100.0,100.0,100.0
9000,100.0,100.0,100.0
9200,100.0,100.0,100.0
9400,100.0,100.0,100.0
9600,100.0,100.0,100.0
9800,100.0,100.0,100.0
10000,100.0,100.0,100.0
10200,100.0,100.0,100.0
10400,100.0,100.0,100.0
10600,100.0,100.0,100.0
10800,100.0,100.0,100.0
11000,100.0,100.0,100.0
11200,100.0,100.0,100.0
11400,100.0,100.0,100.0
11600,100.0,100.0,100.0
11800,100.0,100.0,100.0
12000,100.0,100.0,100.0
12200,100.0,100.0,100.0
12400,100.0,100.0,100.0
12600,100.0,100.0,100.0
12800,100.0,100.0,100.0
13000,100.0,100.0,100.0
13200,100.0,100.0,100.0
13400,100.0,100.0,100.0
13600,100.0,100.0,100.0
13800,100.0,100.0,100.0
14000,100.0,100.0,100.0
14200,100.0,100.0,100.0
14400,100.0,100.0,100.0
14600,100.0,100.0,100.0
14800,100.0,100.0,100.0
15000,100.0,100.0,100.0
15200,100.0,100.0,100.0
15400,100.0,100.0,100.0
15600,100.0,100.0,100.0
15800,100.0,100.0,100.0
16000,100.0,100.0,100.0
16200,100.0,100.0,100.0
16400,100.0,100.0,100.0
16600,100.0,100.0,100.0
16800,100.0,100.0,100.0
17000,100.0,100.0,100.0
17200,100.0,100.0,100.0
17400,100.0,100.0,100.0
17600,100.0,100.0,100.0
17800,100.0,100.0,100.0
18000,100.0,100.0,100.0
18200,100.0,100.0,100.0
18400,100.0,100.0,100.0
18600,100.0,100.0,100.0
18800,100.0,100.0,100.0
19000,100.0,100.0,100.0
19200,100.0,100.0,100.0
19400,100.0,100.0,100.0
19600,100.0,100.0,100.0
19800,100.0,100.0,100.0
20000,100.0,100.0,100.0
20200,100.0,100.0,100.0
20400,100.0,100.0,100.0
20600,100.0,100.0,100.0
20800,100.0,100.0,100.0
21000,100.0,100.0,100.0
21200,100.0,100.0,100.0
21400,100.0,100.0,100.0
21600,100.0,100.0,100.0
21800,100.0,100.0,100.0
22000,100.0,100.0,100.0
22200,100.0,100.0,100.0
22400,100.0,100.0,100.0
22600,100.0,100.0,100.0
22800,100.0,100.0,100.0
23000,100.0,100.0,100.0
23200,100.0,100.0,100.0
23400,100.0,100.0,100.0
23600,100.0,100.0,100.0
23800,100.0,100.0,100.0
24000,100.0,100.0,100.0
24200,100.0,100.0,100.0
24400,100.0,100.0,100.0
24600,100.0,100.0,100.0
24800,100.0,100.0,100.0
25000,100.0,100.0,100.0
25200,100.0,100.0,100.0
25400,100.0,100.0,100.0
25600,100.0,100.0,100.0
25800,100.0,100.0,100.0
26000,100.0,100.0,100.0
26200,100.0,100.0,100.0
26400,100.0,100.0,100.0
26600,100.0,100.0,100.0
26800,100.0,100.0,100.0
27000,100.0,100.0,100.0
27200,100.0,100.0,100.0
27400,100.0,100.0,100.0
27600,100.0,100.0,100.0
27800,100.0,100.0,100.0
28000,100.0,100.0,100.0
