,OnlineBagging,OzaBoost,EFDT
200,64.0,72.5,68.5
400,73.0,73.5,84.0
600,69.5,74.0,75.5
800,71.5,76.0,73.0
1000,40.5,47.0,65.5
1200,54.0,51.0,63.0
1400,73.5,69.0,81.0
1600,81.5,81.0,84.0
1800,79.0,78.0,82.0
2000,74.0,73.0,76.5
2200,82.0,82.0,77.5
2400,56.99999999999999,60.5,70.5
2600,53.5,67.0,69.0
2800,59.0,72.0,76.5
3000,50.5,64.0,74.0
3200,61.5,73.5,75.5
3400,64.0,74.0,77.0
3600,86.0,91.0,93.5
3800,82.0,83.5,87.5
4000,76.5,76.0,77.5
4200,79.0,79.5,89.0
4400,77.0,80.0,83.0
4600,73.0,76.5,84.0
4800,71.0,74.0,82.5
5000,64.5,64.5,79.0
5200,68.0,70.0,78.5
5400,62.0,61.5,74.5
5600,49.5,55.50000000000001,61.0
5800,45.0,60.5,59.0
6000,49.5,57.49999999999999,59.0
6200,60.5,60.5,71.5
6400,56.49999999999999,59.5,77.0
6600,55.50000000000001,61.0,68.5
6800,56.00000000000001,53.0,64.0
7000,54.0,51.5,49.5
7200,47.5,49.5,72.0
7400,50.5,52.5,75.5
7600,65.5,68.5,63.5
7800,62.5,58.5,75.5
8000,62.5,63.0,76.5
8200,56.00000000000001,57.99999999999999,66.5
8400,53.5,52.0,68.5
8600,42.0,49.5,71.0
8800,60.5,60.5,75.5
9000,57.49999999999999,57.49999999999999,74.0
9200,73.0,68.0,78.0
9400,80.5,82.5,90.5
9600,74.0,72.5,78.5
9800,74.0,72.5,78.5
10000,69.5,70.5,69.5
10200,81.0,78.0,79.0
10400,67.0,69.5,71.5
10600,68.5,68.5,78.0
10800,42.0,42.5,52.0
11000,49.0,51.0,62.0
11200,86.5,82.5,83.5
11400,75.0,75.0,73.0
11600,67.5,57.99999999999999,59.5
11800,61.0,59.0,62.0
12000,76.0,73.5,63.5
12200,63.0,65.5,62.0
12400,57.99999999999999,59.0,65.5
12600,73.5,74.5,75.0
12800,78.5,76.5,80.5
13000,67.0,69.5,69.0
13200,65.5,68.0,53.5
13400,64.5,66.0,55.00000000000001
13600,65.5,66.5,67.5
13800,65.0,57.99999999999999,62.5
14000,56.49999999999999,59.5,73.0
14200,59.5,58.5,71.5
14400,64.0,71.0,69.5
14600,78.5,80.0,82.0
14800,69.0,70.5,67.5
15000,65.5,62.5,66.5
15200,68.5,76.5,70.0
15400,82.5,91.5,94.0
15600,92.0,94.0,88.5
15800,80.5,85.0,83.0
16000,82.0,84.0,83.5
16200,72.0,78.5,85.0
16400,78.5,82.5,86.5
16600,75.0,80.0,86.0
16800,72.5,79.5,79.5
17000,72.5,84.0,94.0
17200,81.0,79.5,95.0
