,OnlineBagging,OzaBoost,EFDT
200,85.0,87.0,93.5
400,80.0,96.0,81.0
600,80.0,84.0,84.5
800,94.0,91.5,96.0
1000,91.0,94.5,88.5
1200,87.5,91.5,94.5
1400,98.0,96.5,97.0
1600,98.5,98.0,99.0
1800,85.5,98.0,89.5
2000,90.5,90.0,85.0
2200,79.0,91.0,80.0
2400,91.0,88.5,90.0
2600,85.5,92.0,86.0
2800,88.5,95.0,91.5
3000,97.5,93.5,94.5
3200,87.5,95.5,81.0
3400,93.0,94.0,85.5
3600,94.0,93.0,95.0
3800,83.5,96.0,88.0
4000,90.5,89.0,87.5
4200,90.5,96.5,82.0
4400,78.0,95.5,88.5
4600,87.0,86.5,76.0
4800,94.5,89.0,85.5
5000,85.5,95.5,83.5
5200,81.0,83.5,80.0
5400,81.5,88.0,71.0
5600,90.0,94.0,87.0
5800,84.0,87.5,80.5
6000,88.5,81.5,79.0
6200,87.5,89.5,80.0
6400,83.5,90.5,89.5
6600,83.5,91.5,84.0
6800,92.5,85.0,93.5
7000,86.5,97.0,87.5
7200,74.0,89.5,80.0
7400,81.5,90.0,74.0
7600,89.0,92.5,90.0
7800,84.0,79.0,79.5
8000,82.5,92.0,81.5
8200,92.0,89.0,90.0
8400,88.0,95.0,90.5
8600,89.0,89.5,85.5
8800,92.5,95.5,92.5
9000,87.0,91.0,88.5
9200,90.5,91.0,90.5
9400,72.0,88.5,80.5
9600,86.0,87.0,87.0
9800,83.0,89.5,90.0
10000,92.5,95.0,91.0
10200,92.5,92.5,94.0
10400,92.5,92.0,94.5
10600,90.0,92.5,90.0
10800,93.0,91.0,90.5
11000,89.0,95.5,90.5
11200,83.5,91.0,88.5
11400,83.5,85.5,84.0
11600,85.5,97.5,88.0
11800,84.0,91.0,85.5
12000,85.5,88.5,84.5
12200,82.5,86.5,78.0
12400,87.5,89.5,74.0
12600,81.5,86.5,86.0
12800,94.0,86.5,90.5
13000,74.5,73.0,72.0
13200,93.0,91.5,92.5
13400,89.0,89.0,88.5
13600,82.0,91.5,81.5
13800,95.5,90.5,89.5
14000,95.5,89.0,93.0
14200,80.5,90.5,85.0
14400,83.5,92.0,84.0
14600,84.5,87.0,87.0
14800,95.0,91.5,90.0
15000,70.0,90.0,78.0
15200,74.0,77.0,71.0
15400,88.0,82.5,89.0
15600,68.5,88.0,79.5
15800,57.99999999999999,80.5,75.5
16000,77.0,86.5,78.0
