impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
gini,,0.25,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.0,0.0012000000000000899,0.0012000000000000001,8.977193988179977e-17,7.48099499014942e-14
gini,,0.25,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.0,0.007500000000000062,0.0075000000000000015,6.071532165918825e-17,8.095376221225032e-15
gini,,0.25,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.0,0.019199999999999995,0.019200000000000002,6.938893903907228e-18,3.6140072416183493e-16
gini,,0.3,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.0,0.0011999999999999789,0.0012000000000000001,2.1250362580715887e-17,1.770863548393022e-14
gini,,0.3,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.0,0.007500000000000062,0.0075000000000000015,6.071532165918825e-17,8.095376221225032e-15
gini,,0.3,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.0,0.019199999999999995,0.019200000000000002,6.938893903907228e-18,3.6140072416183493e-16
gini,,0.35,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.0,0.0011999999999999789,0.0012000000000000001,2.1250362580715887e-17,1.770863548393022e-14
gini,,0.35,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.0,0.007499999999999951,0.0075000000000000015,5.0306980803327406e-17,6.707597440443698e-15
gini,,0.35,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.0,0.019199999999999995,0.019200000000000002,6.938893903907228e-18,3.6140072416183493e-16
gini,,0.4,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.0,0.0011999999999999789,0.0012000000000000001,2.1250362580715887e-17,1.770863548393022e-14
gini,,0.4,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.0,0.007500000000000062,0.0075000000000000015,6.071532165918825e-17,8.095376221225032e-15
gini,,0.4,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.0,0.019199999999999995,0.019200000000000002,6.938893903907228e-18,3.6140072416183493e-16
gini,,0.45,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.0,0.0012000000000000899,0.0012000000000000001,8.977193988179977e-17,7.48099499014942e-14
