impurity,epsilon,p,delta_a,delta_b,n_samples,repetitions,wrong_rate,correct_rate,tie_rate,wrong_rate_se,mean_empirical_margin,std_empirical_margin
gini,,0.2,0.08,0.04,25,2000,0.386,0.5625,0.0515,0.01088586239119345,0.014512707699249495,0.07042012012782423
entropy,,0.2,0.08,0.04,25,2000,0.388,0.562,0.05,0.010896237882865811,0.01808097129059,0.09012593346511916
restricted_quadratic_global,0.15,0.2,0.08,0.04,25,2000,0.3845,0.543,0.0725,0.010877953621890469,0.012870567849007614,0.06506666833547818
restricted_quadratic_local,0.15,0.2,0.08,0.04,25,2000,0.473,0.4215,0.1055,0.011164027051203344,-0.004160373994700156,0.11151156199394865
restricted_entropy_global,0.15,0.2,0.08,0.04,25,2000,0.3725,0.53,0.0975,0.010810729623850556,0.014422533782792499,0.07187902787599283
restricted_entropy_local,0.15,0.2,0.08,0.04,25,2000,0.468,0.4265,0.1055,0.011157419056394719,-0.003200813528700207,0.11416324111727194
gini,,0.2,0.08,0.04,50,2000,0.321,0.6585,0.0205,0.010439324690802563,0.017663686852269926,0.04533381190737564
entropy,,0.2,0.08,0.04,50,2000,0.3235,0.656,0.0205,0.010460586742625864,0.021371434046487142,0.05575043907120912
restricted_quadratic_global,0.15,0.2,0.08,0.04,50,2000,0.308,0.645,0.047,0.010323177805307822,0.01563473801620462,0.04179806410664272
restricted_quadratic_local,0.15,0.2,0.08,0.04,50,2000,0.5335,0.413,0.0535,0.011155217389186104,-0.018026915112762894,0.08794739417339506
restricted_entropy_global,0.15,0.2,0.08,0.04,50,2000,0.3105,0.647,0.0425,0.010346249320405922,0.01887344356190998,0.04890693858436077
restricted_entropy_local,0.15,0.2,0.08,0.04,50,2000,0.514,0.4325,0.0535,0.011175956334918278,-0.015794342800981433,0.09066630227735636
gini,,0.2,0.08,0.04,100,2000,0.254,0.7385,0.0075,0.009733550225893941,0.01848968958024768,0.031429295180455445
entropy,,0.2,0.08,0.04,100,2000,0.254,0.7385,0.0075,0.009733550225893941,0.02204206005452995,0.03727145528979494
restricted_quadratic_global,0.15,0.2,0.08,0.04,100,2000,0.252,0.7385,0.0095,0.009708140913686821,0.01662413467513622,0.029488938928025805
restricted_quadratic_local,0.15,0.2,0.08,0.04,100,2000,0.601,0.388,0.011,0.01094986301284176,-0.027710892746175657,0.07479453942585004
restricted_entropy_global,0.15,0.2,0.08,0.04,100,2000,0.253,0.7365,0.0105,0.009720879589831364,0.020856369147509667,0.03566993439136808
restricted_entropy_local,0.15,0.2,0.08,0.04,100,2000,0.586,0.403,0.011,0.01101371871803525,-0.02483594273815346,0.07745284522871426
gini,,0.2,0.08,0.04,200,2000,0.162,0.836,0.002,0.008238810593768981,0.01845456875756915,0.02095594766574075
entropy,,0.2,0.08,0.04,200,2000,0.163,0.835,0.002,0.008259267522002178,0.02148147674502238,0.024361393243253687
restricted_quadratic_global,0.15,0.2,0.08,0.04,200,2000,0.1645,0.8335,0.002,0.008289745170992895,0.017365824441515094,0.01992810766414356
restricted_quadratic_local,0.15,0.2,0.08,0.04,200,2000,0.688,0.31,0.002,0.010359922779634993,-0.03117275460861494,0.05693453950001055
restricted_entropy_global,0.15,0.2,0.08,0.04,200,2000,0.164,0.834,0.002,0.0082796135175502,0.02233559751565684,0.024900380931836434
restricted_entropy_local,0.15,0.2,0.08,0.04,200,2000,0.658,0.34,0.002,0.010607450211997226,-0.027365430725234813,0.058999154126526246
gini,,0.2,0.08,0.04,500,2000,0.06,0.9395,0.0005,0.0053103672189407005,0.018900017967777363,0.012970071133304388
entropy,,0.2,0.08,0.04,500,2000,0.0615,0.938,0.0005,0.005372045699731156,0.022084564750965277,0.015147415878721697
restricted_quadratic_global,0.15,0.2,0.08,0.04,500,2000,0.062,0.9375,0.0005,0.005392402062161166,0.018117885155909758,0.012487877929118808
restricted_quadratic_local,0.15,0.2,0.08,0.04,500,2000,0.807,0.1925,0.0005,0.008824709626950906,-0.04019421328188204,0.04304218629960473
